id_item_pedido,id_pedido,id_produto,quantidade,preco_unitario_venda
233,51,4,10.00,166.69
234,51,176,5.00,99.69
235,51,108,4.00,128.36
236,52,195,6.00,32.07
237,52,141,10.00,36.25
238,52,118,2.00,88.30
239,52,180,1.00,167.43
240,52,150,5.00,82.67
241,52,25,2.00,50.94
242,52,113,3.00,81.42
243,52,128,4.00,120.44
244,53,55,8.00,104.34
245,53,193,6.00,44.06
246,53,169,6.00,143.39
247,53,74,2.00,155.78
248,53,86,9.00,103.76
249,53,154,5.00,43.67
250,53,155,7.00,120.94
251,53,149,9.00,21.84
252,53,41,4.00,75.31
253,54,95,10.00,146.31
254,54,58,7.00,170.49
255,54,37,1.00,77.22
256,54,173,1.00,51.09
257,54,160,8.00,144.77
258,55,111,6.00,77.61
259,55,41,4.00,75.31
260,55,178,6.00,130.29
261,55,6,6.00,158.61
262,56,103,3.00,143.13
263,56,187,8.00,97.73
264,56,12,10.00,164.13
265,56,151,9.00,66.54
266,56,159,6.00,99.26
267,57,55,3.00,104.34
268,57,55,8.00,104.34
269,57,141,4.00,36.25
270,57,176,3.00,99.69
271,57,76,3.00,78.39
272,57,52,5.00,126.99
273,57,102,2.00,143.32
274,57,60,10.00,86.26
275,58,5,2.00,116.79
276,58,107,4.00,140.95
277,58,188,8.00,36.87
278,58,6,9.00,158.61
279,58,11,8.00,132.19
280,58,150,4.00,82.67
281,58,148,5.00,57.69
282,58,54,9.00,80.27
283,58,93,8.00,141.70
284,58,73,6.00,55.51
285,59,1,3.00,59.67
286,59,81,2.00,117.84
287,59,137,9.00,19.46
288,59,65,10.00,36.90
289,59,197,10.00,94.75
290,59,162,2.00,136.96
291,59,95,9.00,146.31
292,59,152,3.00,103.32
293,59,18,7.00,109.86
294,59,169,4.00,143.39
295,60,37,8.00,77.22
296,60,9,1.00,78.00
297,60,31,7.00,95.56
298,60,114,1.00,175.85
299,60,71,8.00,51.00
300,60,118,8.00,88.30
301,60,4,9.00,166.69
302,60,9,8.00,78.00
303,61,26,1.00,57.85
304,61,161,10.00,91.68
305,61,24,9.00,169.69
306,61,2,5.00,100.64
307,61,14,1.00,14.07
308,61,41,8.00,75.31
309,61,52,10.00,126.99
310,61,11,4.00,132.19
311,61,130,2.00,82.53
312,62,28,7.00,118.54
313,62,119,2.00,82.28
314,62,4,7.00,166.69
315,62,3,3.00,95.53
316,62,10,6.00,75.54
317,62,162,3.00,136.96
318,62,183,8.00,88.05
319,63,186,5.00,33.39
320,63,102,2.00,143.32
321,63,56,10.00,44.83
322,63,145,9.00,156.94
323,64,157,8.00,139.76
324,65,101,3.00,120.64
325,66,147,9.00,76.74
326,66,45,5.00,104.12
327,66,125,8.00,108.94
328,66,172,1.00,124.10
329,66,137,3.00,19.46
330,66,42,3.00,132.84
331,67,199,6.00,120.75
332,67,179,8.00,67.33
333,67,11,1.00,132.19
334,67,193,8.00,44.06
335,67,158,8.00,64.90
336,68,87,1.00,70.27
337,69,88,5.00,131.78
338,69,159,8.00,99.26
339,69,30,7.00,66.44
340,69,123,3.00,80.89
341,69,68,10.00,24.01
342,69,188,8.00,36.87
343,69,153,7.00,109.35
344,69,17,4.00,35.86
345,69,143,4.00,19.36
346,69,148,6.00,57.69
347,70,58,7.00,170.49
348,70,122,10.00,27.75
349,70,192,10.00,56.35
350,70,138,8.00,98.96
351,70,94,3.00,71.73
352,70,137,8.00,19.46
353,71,43,3.00,140.33
354,71,167,3.00,102.76
355,71,190,9.00,176.93
356,71,96,9.00,23.96
357,71,114,5.00,175.85
358,71,96,1.00,23.96
359,72,32,9.00,81.69
360,72,4,4.00,166.69
361,72,174,2.00,59.66
362,72,72,3.00,136.86
363,72,194,3.00,50.00
364,72,35,3.00,151.38
365,72,108,1.00,128.36
366,72,141,4.00,36.25
367,72,96,5.00,23.96
368,72,155,6.00,120.94
369,73,50,2.00,45.83
370,73,164,8.00,155.40
371,73,68,4.00,24.01
372,73,199,8.00,120.75
373,73,167,9.00,102.76
374,73,169,7.00,143.39
375,73,116,1.00,114.40
376,73,83,10.00,102.48
377,74,56,10.00,44.83
378,74,169,5.00,143.39
379,75,167,2.00,102.76
380,75,17,1.00,35.86
381,75,7,10.00,60.61
382,75,179,5.00,67.33
383,76,35,10.00,151.38
384,76,67,8.00,65.55
385,76,162,8.00,136.96
386,77,81,3.00,117.84
387,77,36,1.00,179.83
388,77,152,7.00,103.32
389,77,166,3.00,145.42
390,77,185,8.00,81.48
391,77,19,2.00,109.84
392,78,43,9.00,140.33
393,78,145,10.00,156.94
394,78,163,1.00,59.03
395,78,198,7.00,18.04
396,78,77,10.00,121.19
397,78,82,4.00,74.55
398,78,61,6.00,62.49
399,78,7,5.00,60.61
400,79,25,8.00,50.94
401,79,80,8.00,71.15
402,79,103,4.00,143.13
403,80,19,10.00,109.84
404,80,98,6.00,94.54
405,80,93,6.00,141.70
406,80,77,3.00,121.19
407,80,21,8.00,153.55
408,80,109,4.00,31.42
409,81,114,2.00,175.85
410,81,42,5.00,132.84
411,81,159,6.00,99.26
412,81,41,5.00,75.31
413,81,150,4.00,82.67
414,81,80,1.00,71.15
415,82,149,8.00,21.84
416,82,60,4.00,86.26
417,82,187,6.00,97.73
418,82,3,4.00,95.53
419,83,6,3.00,158.61
420,83,7,6.00,60.61
421,83,85,7.00,111.09
422,83,154,1.00,43.67
423,84,29,5.00,150.77
424,84,172,10.00,124.10
425,84,199,3.00,120.75
426,84,26,10.00,57.85
427,84,95,5.00,146.31
428,84,167,9.00,102.76
429,84,121,6.00,80.40
430,84,194,2.00,50.00
431,85,9,10.00,78.00
432,85,108,9.00,128.36
433,85,171,6.00,83.11
434,85,70,1.00,170.91
435,85,192,8.00,56.35
436,85,11,10.00,132.19
437,85,72,1.00,136.86
438,85,61,3.00,62.49
439,86,27,3.00,52.77
440,86,135,8.00,69.08
441,86,120,9.00,27.57
442,86,58,10.00,170.49
443,86,19,5.00,109.84
444,87,53,1.00,39.61
445,88,53,2.00,39.61
446,88,188,3.00,36.87
447,88,85,4.00,111.09
448,88,123,10.00,80.89
449,89,97,8.00,41.83
450,89,63,4.00,93.65
451,89,123,2.00,80.89
452,90,166,8.00,145.42
453,90,38,8.00,107.79
454,91,142,8.00,82.31
455,91,172,10.00,124.10
456,91,195,2.00,32.07
457,92,13,10.00,62.36
458,92,104,8.00,17.81
459,92,57,2.00,17.10
460,92,136,1.00,17.95
461,92,63,4.00,93.65
462,92,179,4.00,67.33
463,92,28,7.00,118.54
464,92,124,3.00,92.50
465,93,81,7.00,117.84
466,93,195,10.00,32.07
467,93,166,4.00,145.42
468,93,4,2.00,166.69
469,93,177,9.00,59.94
470,93,130,7.00,82.53
471,93,65,7.00,36.90
472,93,65,7.00,36.90
473,94,52,5.00,126.99
474,94,116,5.00,114.40
475,94,132,9.00,70.90
476,95,43,1.00,140.33
477,95,114,8.00,175.85
478,95,166,1.00,145.42
479,95,125,1.00,108.94
480,96,195,5.00,32.07
481,96,18,3.00,109.86
482,96,187,10.00,97.73
483,96,182,8.00,73.62
484,96,174,2.00,59.66
485,96,60,10.00,86.26
486,96,162,3.00,136.96
487,96,146,10.00,110.74
488,96,106,9.00,17.25
489,97,186,9.00,33.39
490,97,79,5.00,82.45
491,97,28,3.00,118.54
492,97,8,4.00,76.10
493,97,100,6.00,89.92
494,97,22,10.00,43.36
495,97,112,9.00,17.72
496,98,1,5.00,59.67
497,98,65,3.00,36.90
498,98,21,9.00,153.55
499,98,7,6.00,60.61
500,98,140,9.00,160.58
501,98,191,4.00,30.62
502,99,160,9.00,144.77
503,99,198,4.00,18.04
504,99,117,10.00,170.41
505,99,32,9.00,81.69
506,99,161,5.00,91.68
507,99,155,6.00,120.94
508,99,99,8.00,40.93
509,99,72,5.00,136.86
510,100,78,5.00,113.51
511,100,2,8.00,100.64
512,100,130,1.00,82.53
513,100,47,1.00,92.50
514,100,112,7.00,17.72
515,101,70,10.00,170.91
516,101,183,6.00,88.05
517,101,48,5.00,69.95
518,102,191,8.00,30.62
519,103,41,6.00,75.31
520,103,66,9.00,88.37
521,103,73,3.00,55.51
522,103,193,2.00,44.06
523,103,9,7.00,78.00
524,103,19,6.00,109.84
525,103,82,5.00,74.55
526,103,183,3.00,88.05
527,103,125,3.00,108.94
528,104,183,9.00,88.05
529,104,94,9.00,71.73
530,104,145,2.00,156.94
531,105,87,4.00,70.27
532,105,59,5.00,34.40
533,105,124,6.00,92.50
534,105,16,7.00,108.18
535,105,194,10.00,50.00
536,105,125,5.00,108.94
537,105,28,5.00,118.54
538,106,112,7.00,17.72
539,106,148,7.00,57.69
540,106,188,9.00,36.87
541,106,40,6.00,14.12
542,106,68,10.00,24.01
543,106,121,3.00,80.40
544,106,82,4.00,74.55
545,106,73,9.00,55.51
546,107,73,9.00,55.51
547,107,10,8.00,75.54
548,107,123,9.00,80.89
549,107,36,5.00,179.83
550,108,49,1.00,18.46
551,108,90,2.00,45.99
552,108,57,1.00,17.10
553,108,64,5.00,46.97
554,108,99,1.00,40.93
555,108,105,7.00,115.16
556,108,92,5.00,95.54
557,108,198,6.00,18.04
558,109,116,5.00,114.40
559,109,71,6.00,51.00
560,110,8,1.00,76.10
561,110,62,3.00,81.68
562,110,97,6.00,41.83
563,110,74,2.00,155.78
564,111,7,3.00,60.61
565,111,43,3.00,140.33
566,111,152,10.00,103.32
567,111,92,5.00,95.54
568,111,173,10.00,51.09
569,111,51,4.00,109.57
570,111,17,3.00,35.86
571,112,130,4.00,82.53
572,112,147,7.00,76.74
573,112,22,6.00,43.36
574,112,81,4.00,117.84
575,112,134,3.00,73.35
576,112,22,9.00,43.36
577,112,197,4.00,94.75
578,112,143,6.00,19.36
579,112,131,6.00,141.91
580,112,200,3.00,42.11
581,113,22,3.00,43.36
582,113,189,10.00,106.63
583,113,191,9.00,30.62
584,113,121,4.00,80.40
585,113,167,2.00,102.76
586,113,77,4.00,121.19
587,113,162,9.00,136.96
588,113,177,9.00,59.94
589,114,118,2.00,88.30
590,114,195,5.00,32.07
591,114,42,8.00,132.84
592,114,38,7.00,107.79
593,114,147,7.00,76.74
594,114,35,9.00,151.38
595,115,8,2.00,76.10
596,115,92,10.00,95.54
597,115,64,8.00,46.97
598,115,195,5.00,32.07
599,115,114,4.00,175.85
600,115,5,1.00,116.79
601,115,61,3.00,62.49
602,116,184,2.00,83.48
603,116,157,7.00,139.76
604,116,130,5.00,82.53
605,116,50,10.00,45.83
606,116,167,5.00,102.76
607,116,131,10.00,141.91
608,116,176,5.00,99.69
609,116,159,6.00,99.26
610,116,29,2.00,150.77
611,117,1,9.00,59.67
612,117,75,3.00,70.30
613,117,3,4.00,95.53
614,117,186,5.00,33.39
615,117,96,1.00,23.96
616,117,140,5.00,160.58
617,117,4,9.00,166.69
618,117,16,9.00,108.18
619,118,131,1.00,141.91
620,118,43,10.00,140.33
621,118,44,2.00,146.83
622,118,48,7.00,69.95
623,118,102,7.00,143.32
624,118,107,9.00,140.95
625,118,104,2.00,17.81
626,118,13,10.00,62.36
627,119,43,10.00,140.33
628,120,198,4.00,18.04
629,120,165,1.00,29.37
630,120,140,4.00,160.58
631,120,181,4.00,132.60
632,120,162,2.00,136.96
633,120,42,7.00,132.84
634,120,144,6.00,89.66
635,120,149,10.00,21.84
636,120,123,2.00,80.89
637,121,50,8.00,45.83
638,121,174,2.00,59.66
639,122,192,4.00,56.35
640,122,188,7.00,36.87
641,123,99,2.00,40.93
642,123,88,7.00,131.78
643,123,180,6.00,167.43
644,123,14,7.00,14.07
645,123,45,1.00,104.12
646,124,54,9.00,80.27
647,124,54,10.00,80.27
648,125,164,6.00,155.40
649,125,76,2.00,78.39
650,125,156,4.00,168.13
651,125,70,8.00,170.91
652,125,134,2.00,73.35
653,125,104,3.00,17.81
654,125,172,5.00,124.10
655,125,127,9.00,106.10
656,125,64,1.00,46.97
657,126,107,7.00,140.95
658,127,119,5.00,82.28
659,127,91,10.00,30.96
660,128,123,4.00,80.89
661,128,24,5.00,169.69
662,128,140,3.00,160.58
663,128,44,4.00,146.83
664,128,173,4.00,51.09
665,128,78,8.00,113.51
666,129,62,3.00,81.68
667,129,46,5.00,170.17
668,129,107,4.00,140.95
669,129,21,5.00,153.55
670,129,29,3.00,150.77
671,129,158,3.00,64.90
672,129,143,10.00,19.36
673,129,81,3.00,117.84
674,130,39,3.00,126.24
675,130,152,10.00,103.32
676,130,128,3.00,120.44
677,131,154,1.00,43.67
678,131,20,3.00,129.88
679,131,180,8.00,167.43
680,131,40,7.00,14.12
681,131,136,5.00,17.95
682,131,14,1.00,14.07
683,132,22,2.00,43.36
684,132,130,7.00,82.53
685,133,176,1.00,99.69
686,134,109,9.00,31.42
687,134,172,6.00,124.10
688,134,75,1.00,70.30
689,134,76,6.00,78.39
690,134,169,5.00,143.39
691,134,114,6.00,175.85
692,134,49,5.00,18.46
693,134,92,10.00,95.54
694,134,114,9.00,175.85
695,134,136,8.00,17.95
696,135,88,8.00,131.78
697,135,68,6.00,24.01
698,135,102,1.00,143.32
699,135,126,1.00,71.94
700,135,64,5.00,46.97
701,136,154,8.00,43.67
702,137,58,5.00,170.49
703,138,77,4.00,121.19
704,138,138,4.00,98.96
705,139,8,5.00,76.10
706,139,195,7.00,32.07
707,139,33,10.00,49.20
708,139,71,9.00,51.00
709,139,52,7.00,126.99
710,139,140,5.00,160.58
711,140,104,8.00,17.81
712,140,77,6.00,121.19
713,140,112,2.00,17.72
714,140,38,5.00,107.79
715,140,102,3.00,143.32
716,140,194,10.00,50.00
717,140,169,4.00,143.39
718,140,64,5.00,46.97
719,140,95,9.00,146.31
720,140,13,7.00,62.36
721,141,82,6.00,74.55
722,141,77,4.00,121.19
723,141,117,9.00,170.41
724,141,137,8.00,19.46
725,141,133,1.00,85.25
726,141,87,10.00,70.27
727,141,63,8.00,93.65
728,141,6,8.00,158.61
729,141,143,3.00,19.36
730,142,111,1.00,77.61
731,142,158,7.00,64.90
732,142,197,10.00,94.75
733,142,127,5.00,106.10
734,142,37,7.00,77.22
735,142,147,7.00,76.74
736,143,79,10.00,82.45
737,144,13,1.00,62.36
738,144,184,6.00,83.48
739,144,187,1.00,97.73
740,144,87,1.00,70.27
741,144,173,3.00,51.09
742,145,5,3.00,116.79
743,145,13,7.00,62.36
744,145,4,2.00,166.69
745,146,174,1.00,59.66
746,147,147,4.00,76.74
747,147,67,8.00,65.55
748,148,39,2.00,126.24
749,148,32,4.00,81.69
750,148,52,3.00,126.99
751,148,95,7.00,146.31
752,148,140,7.00,160.58
753,148,199,2.00,120.75
754,148,122,7.00,27.75
755,149,7,10.00,60.61
756,149,110,10.00,76.77
757,149,12,5.00,164.13
758,149,37,6.00,77.22
759,149,198,5.00,18.04
760,149,28,5.00,118.54
761,149,139,3.00,33.06
762,149,192,2.00,56.35
763,150,142,5.00,82.31
764,151,99,8.00,40.93
765,151,18,4.00,109.86
766,151,51,4.00,109.57
767,152,197,5.00,94.75
768,152,59,2.00,34.40
769,152,149,4.00,21.84
770,152,97,4.00,41.83
771,152,96,3.00,23.96
772,153,133,10.00,85.25
773,153,109,10.00,31.42
774,153,67,7.00,65.55
775,153,78,10.00,113.51
776,153,82,3.00,74.55
777,153,52,4.00,126.99
778,153,41,9.00,75.31
779,153,109,3.00,31.42
780,153,102,9.00,143.32
781,154,110,6.00,76.77
782,155,186,3.00,33.39
783,155,88,5.00,131.78
784,156,134,2.00,73.35
785,156,168,7.00,183.04
786,156,172,3.00,124.10
787,156,150,10.00,82.67
788,157,119,8.00,82.28
789,158,155,4.00,120.94
790,158,62,6.00,81.68
791,159,179,3.00,67.33
792,160,119,8.00,82.28
793,160,154,8.00,43.67
794,160,49,1.00,18.46
795,160,151,5.00,66.54
796,160,29,3.00,150.77
797,161,165,7.00,29.37
798,161,183,6.00,88.05
799,162,114,6.00,175.85
800,163,155,6.00,120.94
801,164,102,9.00,143.32
802,164,152,3.00,103.32
803,164,170,6.00,111.55
804,165,123,5.00,80.89
805,165,52,1.00,126.99
806,165,77,9.00,121.19
807,166,14,8.00,14.07
808,166,96,2.00,23.96
809,166,97,9.00,41.83
810,166,171,7.00,83.11
811,166,170,2.00,111.55
812,166,84,6.00,135.68
813,166,63,1.00,93.65
814,166,31,8.00,95.56
815,166,26,5.00,57.85
816,167,36,8.00,179.83
817,167,21,4.00,153.55
818,167,78,10.00,113.51
819,167,89,5.00,149.08
820,168,119,6.00,82.28
821,168,39,2.00,126.24
822,168,70,2.00,170.91
823,168,167,7.00,102.76
824,168,132,5.00,70.90
825,169,100,3.00,89.92
826,169,127,5.00,106.10
827,169,104,2.00,17.81
828,169,32,4.00,81.69
829,169,67,6.00,65.55
830,169,185,9.00,81.48
831,169,108,2.00,128.36
832,169,186,4.00,33.39
833,170,69,10.00,144.63
834,170,107,10.00,140.95
835,170,12,6.00,164.13
836,171,137,7.00,19.46
837,171,19,6.00,109.84
838,171,113,2.00,81.42
839,172,153,9.00,109.35
840,173,102,2.00,143.32
841,173,66,2.00,88.37
842,174,45,4.00,104.12
843,174,191,8.00,30.62
844,174,13,10.00,62.36
845,175,146,4.00,110.74
846,176,63,2.00,93.65
847,176,138,1.00,98.96
848,176,54,2.00,80.27
849,176,174,10.00,59.66
850,176,21,7.00,153.55
851,177,94,1.00,71.73
852,177,162,10.00,136.96
853,177,21,8.00,153.55
854,177,137,1.00,19.46
855,177,13,3.00,62.36
856,178,194,2.00,50.00
857,178,131,10.00,141.91
858,178,146,9.00,110.74
859,178,181,1.00,132.60
860,178,124,9.00,92.50
861,178,120,4.00,27.57
862,178,161,1.00,91.68
863,178,169,1.00,143.39
864,178,164,9.00,155.40
865,178,188,1.00,36.87
866,179,139,10.00,33.06
867,179,87,5.00,70.27
868,179,189,4.00,106.63
869,179,5,1.00,116.79
870,179,190,8.00,176.93
871,179,166,10.00,145.42
872,180,66,6.00,88.37
873,181,108,1.00,128.36
874,181,159,8.00,99.26
875,181,49,1.00,18.46
876,182,154,3.00,43.67
877,182,169,6.00,143.39
878,182,28,1.00,118.54
879,182,2,8.00,100.64
880,182,185,3.00,81.48
881,182,84,4.00,135.68
882,182,130,1.00,82.53
883,182,111,5.00,77.61
884,182,126,8.00,71.94
885,183,159,1.00,99.26
886,183,138,5.00,98.96
887,183,192,6.00,56.35
888,183,5,4.00,116.79
889,183,167,1.00,102.76
890,183,119,10.00,82.28
891,183,157,2.00,139.76
892,184,153,7.00,109.35
893,184,28,7.00,118.54
894,184,154,10.00,43.67
895,184,63,8.00,93.65
896,184,1,7.00,59.67
897,184,50,3.00,45.83
898,184,130,5.00,82.53
899,184,24,4.00,169.69
900,185,96,10.00,23.96
901,185,18,8.00,109.86
902,185,71,6.00,51.00
903,185,177,7.00,59.94
904,185,132,3.00,70.90
905,186,43,4.00,140.33
906,186,21,5.00,153.55
907,186,18,10.00,109.86
908,187,163,9.00,59.03
909,188,118,2.00,88.30
910,188,2,6.00,100.64
911,188,168,5.00,183.04
912,188,174,9.00,59.66
913,188,179,8.00,67.33
914,188,43,8.00,140.33
915,188,5,10.00,116.79
916,188,100,8.00,89.92
917,188,53,1.00,39.61
918,188,94,2.00,71.73
919,189,16,3.00,108.18
920,189,172,7.00,124.10
921,189,119,1.00,82.28
922,189,109,6.00,31.42
923,189,194,3.00,50.00
924,189,99,7.00,40.93
925,189,130,4.00,82.53
926,189,180,4.00,167.43
927,190,195,5.00,32.07
928,190,64,3.00,46.97
929,190,49,6.00,18.46
930,190,161,5.00,91.68
931,190,14,9.00,14.07
932,191,45,7.00,104.12
933,191,146,6.00,110.74
934,191,162,3.00,136.96
935,191,168,5.00,183.04
936,191,119,7.00,82.28
937,191,143,5.00,19.36
938,191,36,6.00,179.83
939,191,6,6.00,158.61
940,191,172,6.00,124.10
941,192,55,2.00,104.34
942,193,53,9.00,39.61
943,193,76,4.00,78.39
944,194,192,9.00,56.35
945,194,123,4.00,80.89
946,194,6,1.00,158.61
947,195,106,9.00,17.25
948,195,89,8.00,149.08
949,195,133,10.00,85.25
950,195,124,4.00,92.50
951,195,157,10.00,139.76
952,195,62,8.00,81.68
953,195,156,7.00,168.13
954,196,22,8.00,43.36
955,196,58,3.00,170.49
956,196,110,9.00,76.77
957,196,164,5.00,155.40
958,196,121,8.00,80.40
959,196,11,10.00,132.19
960,196,125,3.00,108.94
961,196,61,9.00,62.49
962,196,39,6.00,126.24
963,196,193,3.00,44.06
964,197,119,5.00,82.28
965,197,85,8.00,111.09
966,198,130,6.00,82.53
967,198,145,1.00,156.94
968,198,190,7.00,176.93
969,198,89,3.00,149.08
970,198,183,9.00,88.05
971,198,65,2.00,36.90
972,198,188,2.00,36.87
973,198,190,3.00,176.93
974,198,101,8.00,120.64
975,199,92,5.00,95.54
976,199,173,10.00,51.09
977,199,64,7.00,46.97
978,199,59,6.00,34.40
979,199,139,10.00,33.06
980,199,110,10.00,76.77
981,199,40,1.00,14.12
982,200,129,7.00,59.27
983,200,45,3.00,104.12
984,200,94,7.00,71.73
985,200,173,4.00,51.09
986,200,45,1.00,104.12
987,200,82,10.00,74.55
988,201,157,6.00,139.76
989,201,121,3.00,80.40
990,201,76,2.00,78.39
991,201,160,5.00,144.77
992,201,147,4.00,76.74
993,202,148,8.00,57.69
994,202,147,3.00,76.74
995,202,45,3.00,104.12
