id_pagamento,id_pedido,valor,metodo_pagamento,data_pagamento,status_pagamento
136,136,349.36,Cartão de Crédito,2024-03-16 03:39:36,Aprovado
137,137,852.45,Cartão de Crédito,2024-10-24 07:02:55,Aprovado
138,138,880.60,Dinheiro,2025-03-10 09:38:00,Aprovado
139,139,3247.82,PIX,2025-05-14 17:32:16,Aprovado
140,140,4935.69,Cartão de Crédito,2024-01-28 17:32:24,Aprovado
141,141,5485.54,PIX,2024-11-02 04:13:05,Aprovado
142,142,3087.63,Cartão de Débito,2024-07-29 19:45:17,Aprovado
143,143,824.50,Cartão de Débito,2025-04-04 10:22:53,Aprovado
144,144,884.51,Dinheiro,2024-12-22 17:52:37,Aprovado
145,145,1120.27,Cartão de Débito,2025-02-23 05:57:46,Aprovado
146,146,59.66,PIX,2024-09-30 22:18:00,Aprovado
147,147,831.36,Cartão de Crédito,2024-11-17 07:50:13,Aprovado
148,148,3544.19,Cartão de Crédito,2024-05-24 09:47:03,Aprovado
149,149,3552.55,PIX,2024-10-19 08:26:41,Aprovado
150,150,411.55,Dinheiro,2024-03-21 01:15:26,Recusado
151,151,1205.16,Cartão de Crédito,2024-05-12 08:38:03,Recusado
152,152,869.11,Dinheiro,2024-03-19 01:08:16,Aprovado
153,153,5554.19,Cartão de Crédito,2025-02-08 19:25:14,Aprovado
154,154,460.62,Cartão de Crédito,2024-11-06 11:20:42,Aprovado
155,155,759.07,Cartão de Débito,2024-05-06 03:36:11,Aprovado
156,156,2626.98,Boleto,2024-02-19 22:44:30,Aprovado
157,157,658.24,Cartão de Crédito,2024-05-17 09:40:49,Aprovado
158,158,973.84,Boleto,2024-12-31 03:36:30,Aprovado
159,159,201.99,PIX,2024-09-17 03:46:19,Aprovado
160,160,1811.07,Boleto,2024-03-23 22:55:52,Aprovado
161,161,733.89,Cartão de Crédito,2025-05-13 01:14:51,Aprovado
162,162,1055.10,Boleto,2025-05-13 10:10:31,Recusado
163,163,725.64,Dinheiro,2024-10-22 13:42:31,Aprovado
164,164,2269.14,Boleto,2024-04-17 21:59:56,Aprovado
165,165,1622.15,Cartão de Débito,2024-09-09 16:43:04,Aprovado
166,166,3303.28,Dinheiro,2024-02-17 14:03:06,Recusado
167,167,3933.34,Cartão de Crédito,2024-10-29 03:23:30,Aprovado
168,168,2161.80,Dinheiro,2025-04-08 11:43:57,Recusado
169,169,2679.54,Dinheiro,2024-02-15 09:54:54,Aprovado
170,170,3840.58,Cartão de Crédito,2024-06-18 22:24:12,Aprovado
171,171,958.10,Dinheiro,2024-10-07 19:51:55,Aprovado
172,172,984.15,Cartão de Débito,2024-08-01 23:36:21,Aprovado
173,173,463.38,Dinheiro,2024-12-25 11:27:12,Aprovado
174,174,1285.04,Cartão de Crédito,2024-12-24 16:11:31,Aprovado
175,175,442.96,PIX,2024-10-30 04:08:32,Aprovado
176,176,2118.25,PIX,2024-12-23 17:58:22,Pendente
177,177,2876.27,PIX,2024-10-19 14:33:21,Recusado
178,178,5261.68,Cartão de Crédito,2024-04-06 18:26:30,Aprovado
179,179,4094.90,Cartão de Crédito,2024-06-06 08:24:03,Aprovado
180,180,530.22,Boleto,2024-05-10 16:41:39,Aprovado
181,181,940.90,Cartão de Débito,2025-02-28 09:52:02,Aprovado
182,182,3748.27,PIX,2025-03-19 18:19:57,Aprovado
183,183,2604.40,Cartão de Débito,2024-09-05 06:09:42,Aprovado
184,184,4427.72,Boleto,2024-05-12 19:28:58,Aprovado
185,185,2056.76,Boleto,2025-05-26 15:29:31,Aprovado
186,186,2427.67,PIX,2024-12-04 03:02:45,Aprovado
187,187,531.27,Cartão de Crédito,2024-09-24 18:04:53,Aprovado
188,188,5964.19,Cartão de Crédito,2024-01-11 07:18:02,Aprovado
189,189,2900.39,Dinheiro,2024-04-04 02:23:10,Aprovado
190,190,997.05,Boleto,2024-08-28 08:34:45,Recusado
191,191,6167.36,Boleto,2024-05-22 18:40:19,Recusado
192,192,208.68,PIX,2024-01-23 23:13:03,Aprovado
193,193,670.05,Cartão de Crédito,2024-09-20 11:04:08,Aprovado
194,194,989.32,Dinheiro,2025-03-09 05:07:58,Aprovado
195,195,5798.34,Dinheiro,2024-09-21 16:13:01,Aprovado
196,196,6070.23,Dinheiro,2025-03-17 09:34:18,Aprovado
197,197,1300.12,Dinheiro,2024-08-08 21:48:56,Aprovado
198,198,4773.77,Cartão de Crédito,2024-11-12 19:10:48,Recusado
199,199,2636.21,Dinheiro,2025-03-22 04:24:56,Aprovado
200,200,2283.34,Boleto,2025-05-29 07:18:50,Aprovado
201,201,2267.35,Boleto,2024-03-12 05:09:37,Aprovado
202,202,3209.18,Dinheiro,2024-03-16 10:41:59,Recusado
203,203,264.15,Boleto,2025-03-14 13:26:13,Aprovado
204,204,1949.53,PIX,2024-01-17 21:26:35,Aprovado
205,205,705.46,Cartão de Crédito,2024-04-03 12:52:41,Aprovado
206,206,1969.02,Dinheiro,2024-01-26 04:20:50,Aprovado
207,207,511.30,Cartão de Débito,2024-04-19 07:23:07,Aprovado
208,208,1810.78,Cartão de Débito,2025-03-25 02:02:35,Aprovado
209,209,194.41,Boleto,2025-01-21 05:25:36,Aprovado
210,210,2012.88,Cartão de Débito,2024-01-26 13:33:04,Aprovado
211,211,258.09,Cartão de Crédito,2024-01-26 03:33:29,Aprovado
212,212,5449.45,Cartão de Débito,2025-05-07 05:43:29,Recusado
213,213,2330.26,Dinheiro,2024-05-06 13:16:22,Aprovado
214,214,3807.88,Dinheiro,2024-11-05 21:07:03,Aprovado
215,215,498.58,PIX,2024-01-16 19:10:40,Aprovado
216,216,4979.44,Boleto,2024-12-23 22:22:42,Aprovado
217,217,3321.16,PIX,2025-02-28 11:59:29,Aprovado
218,218,1841.10,Dinheiro,2025-04-24 19:33:11,Aprovado
219,219,1852.64,Cartão de Débito,2024-11-15 07:25:15,Aprovado
220,220,2843.80,Cartão de Crédito,2024-06-29 04:03:25,Pendente
221,221,4254.57,PIX,2025-05-09 05:17:07,Aprovado
222,222,3082.26,Boleto,2025-03-17 15:01:38,Aprovado
223,223,2827.37,PIX,2025-04-02 22:27:55,Aprovado
224,224,465.08,Cartão de Débito,2025-05-29 12:59:03,Aprovado
225,225,3642.58,Cartão de Débito,2024-12-11 11:12:48,Aprovado
226,226,2809.72,Cartão de Débito,2024-01-01 05:12:44,Aprovado
227,227,1795.11,Cartão de Crédito,2024-10-04 20:30:35,Aprovado
228,228,2838.11,PIX,2024-09-08 01:28:07,Aprovado
229,229,2488.87,Cartão de Débito,2024-08-24 10:29:30,Aprovado
230,230,2511.53,Cartão de Débito,2024-09-12 02:16:48,Aprovado
231,231,2549.07,Dinheiro,2024-07-17 18:22:39,Aprovado
232,232,3287.55,Boleto,2024-04-12 11:14:57,Aprovado
233,233,842.08,Dinheiro,2024-02-17 15:25:07,Aprovado
234,234,2760.41,Boleto,2024-05-21 05:33:03,Aprovado
235,235,5672.53,Dinheiro,2024-01-13 09:01:01,Aprovado
236,236,1493.19,Cartão de Débito,2024-03-19 17:50:33,Aprovado
237,237,5836.89,Boleto,2024-01-27 19:50:43,Recusado
238,238,149.08,Cartão de Débito,2024-05-26 19:49:39,Aprovado
239,239,1101.65,Cartão de Débito,2025-01-04 13:56:31,Aprovado
240,240,1832.13,Dinheiro,2024-12-18 02:29:48,Aprovado
241,241,3365.55,Cartão de Crédito,2024-07-06 06:36:38,Aprovado
242,242,1126.62,Cartão de Crédito,2025-04-03 00:00:33,Aprovado
243,243,1632.75,Cartão de Crédito,2025-02-27 01:43:21,Aprovado
244,244,166.22,Boleto,2025-02-02 14:08:49,Aprovado
245,245,5045.48,Boleto,2024-10-21 21:20:09,Aprovado
246,246,4948.12,PIX,2025-05-03 07:07:49,Aprovado
247,247,3785.77,Cartão de Crédito,2025-01-10 07:44:02,Aprovado
248,248,3516.91,Cartão de Crédito,2024-06-13 05:16:05,Aprovado
249,249,2388.71,Dinheiro,2025-03-10 07:22:59,Aprovado
250,250,3574.43,Dinheiro,2024-08-01 14:55:17,Recusado
251,251,2311.71,Dinheiro,2024-10-02 19:08:05,Aprovado
252,252,3640.89,Cartão de Crédito,2024-04-23 13:14:09,Aprovado
253,253,2596.92,Cartão de Débito,2024-08-14 17:39:50,Aprovado
254,254,958.02,Dinheiro,2024-08-04 21:25:28,Aprovado
255,255,2393.93,Dinheiro,2025-04-19 08:21:40,Aprovado
256,256,3948.78,Boleto,2025-03-24 11:16:53,Aprovado
257,257,4264.26,Cartão de Débito,2024-05-28 10:23:31,Aprovado
258,258,1958.15,Boleto,2024-03-17 03:36:33,Pendente
259,259,2886.39,Cartão de Débito,2024-02-02 16:32:04,Aprovado
260,260,2150.09,PIX,2024-09-01 23:12:40,Aprovado
261,261,1302.78,Boleto,2025-05-04 19:05:18,Aprovado
262,262,2339.99,Boleto,2025-02-05 08:37:56,Aprovado
263,263,3638.58,Cartão de Crédito,2024-10-10 10:43:42,Recusado
264,264,1049.46,PIX,2025-04-29 13:44:39,Recusado
265,265,2800.49,Cartão de Débito,2024-06-16 22:43:34,Aprovado
266,266,1103.65,PIX,2025-03-20 12:33:29,Pendente
267,267,1947.06,Boleto,2024-11-17 15:15:41,Pendente
268,268,826.53,Cartão de Crédito,2025-03-18 19:38:15,Aprovado
269,269,4672.80,Cartão de Débito,2024-12-23 17:31:32,Pendente
270,270,1259.95,Boleto,2024-07-03 08:45:41,Aprovado
271,271,3414.13,Cartão de Crédito,2025-02-03 14:21:22,Aprovado
272,272,4286.76,Boleto,2025-03-15 14:39:32,Aprovado
273,273,1676.61,Cartão de Débito,2025-02-27 10:22:45,Aprovado
274,274,3050.94,PIX,2024-04-23 07:26:19,Aprovado
275,275,2971.20,Cartão de Débito,2024-10-29 15:09:31,Aprovado
276,276,4255.14,Cartão de Crédito,2024-10-20 12:07:37,Aprovado
277,277,221.40,Cartão de Crédito,2024-10-20 21:21:29,Aprovado
278,278,4419.62,PIX,2024-04-25 08:19:36,Aprovado
279,279,858.78,PIX,2024-09-27 05:40:20,Recusado
280,280,380.97,Cartão de Crédito,2025-04-17 04:08:22,Aprovado
281,281,4782.33,Cartão de Crédito,2024-03-07 00:38:08,Aprovado
282,282,1650.58,Dinheiro,2024-12-19 00:44:22,Aprovado
283,283,2316.25,Boleto,2024-04-23 19:37:14,Recusado
284,284,2996.36,Boleto,2024-10-05 20:13:22,Aprovado
285,285,4306.94,Cartão de Débito,2024-05-30 00:51:08,Recusado
286,286,2691.53,Cartão de Débito,2024-10-20 18:15:15,Aprovado
287,287,2033.47,Dinheiro,2024-12-10 13:16:39,Aprovado
288,288,1627.02,Boleto,2025-04-30 23:25:10,Aprovado
289,289,2614.00,Cartão de Crédito,2024-12-20 18:20:38,Aprovado
290,290,824.55,PIX,2025-02-04 04:05:44,Aprovado
291,291,3430.82,Boleto,2024-11-26 15:40:38,Aprovado
292,292,1370.40,Dinheiro,2024-04-12 19:33:10,Aprovado
293,293,2176.26,Dinheiro,2024-08-01 19:22:15,Pendente
294,294,2761.02,Boleto,2024-09-01 11:43:38,Aprovado
295,295,1805.94,Cartão de Débito,2025-03-18 06:03:59,Aprovado
296,296,4360.71,Boleto,2024-09-25 16:48:40,Aprovado
297,297,3978.59,PIX,2025-01-16 10:04:06,Pendente
298,298,132.19,Cartão de Débito,2024-07-29 11:39:32,Aprovado
299,299,1718.18,Dinheiro,2024-02-07 19:33:20,Aprovado
300,300,4284.16,Cartão de Débito,2024-10-19 16:35:29,Aprovado
301,301,3172.42,Dinheiro,2024-05-01 02:19:04,Aprovado
302,302,2367.22,Cartão de Débito,2025-04-12 02:44:17,Aprovado
303,303,2835.28,Dinheiro,2024-07-01 13:37:59,Aprovado
304,304,3465.13,Cartão de Débito,2024-03-20 08:30:26,Aprovado
305,305,5379.95,Dinheiro,2024-04-07 03:51:33,Aprovado
306,306,2739.02,PIX,2024-12-29 14:38:10,Aprovado
307,307,34.20,Boleto,2024-12-24 09:15:56,Recusado
308,308,3132.80,Cartão de Crédito,2024-02-10 03:08:00,Pendente
309,309,2677.73,Cartão de Crédito,2024-09-22 17:26:47,Aprovado
310,310,584.34,Cartão de Crédito,2025-01-14 16:42:49,Aprovado
311,311,2161.65,Cartão de Débito,2025-02-12 04:56:51,Aprovado
312,312,2827.44,Cartão de Crédito,2024-10-25 03:34:47,Aprovado
313,313,357.00,Boleto,2024-11-17 20:39:13,Pendente
314,314,6432.55,Dinheiro,2024-04-28 02:36:13,Aprovado
315,315,1777.51,PIX,2025-04-09 11:37:25,Pendente
316,316,2969.41,Cartão de Crédito,2024-06-04 03:15:15,Pendente
317,317,1785.66,Boleto,2024-12-09 03:16:42,Aprovado
318,318,1469.64,Cartão de Crédito,2024-11-10 01:50:18,Aprovado
319,319,1656.25,PIX,2024-09-13 11:30:50,Aprovado
320,320,7066.09,Cartão de Débito,2024-07-03 14:52:24,Aprovado
321,321,2899.68,Boleto,2024-08-29 18:43:37,Aprovado
322,322,4411.45,Cartão de Crédito,2025-03-28 09:07:47,Aprovado
323,323,5180.08,Cartão de Débito,2024-05-11 10:34:03,Aprovado
324,324,4194.40,Cartão de Crédito,2024-09-19 17:43:51,Aprovado
325,325,4741.57,Cartão de Débito,2024-03-17 08:16:37,Aprovado
326,326,3891.88,Dinheiro,2025-03-16 12:08:08,Aprovado
327,327,4441.64,Boleto,2025-03-22 19:00:23,Aprovado
328,328,770.16,Boleto,2025-04-08 13:38:06,Recusado
329,329,3052.35,Cartão de Crédito,2025-04-22 10:59:49,Aprovado
330,330,383.85,PIX,2025-05-21 03:42:37,Aprovado
331,331,5405.29,Cartão de Crédito,2024-06-20 00:23:37,Aprovado
332,332,2529.99,Dinheiro,2024-06-15 23:10:45,Aprovado
333,333,3254.38,Dinheiro,2024-09-12 22:43:20,Aprovado
334,334,2625.35,Dinheiro,2024-06-18 06:49:36,Aprovado
335,335,407.66,Dinheiro,2025-03-26 02:26:22,Recusado
336,336,163.62,PIX,2024-03-24 06:42:06,Aprovado
337,337,1531.53,Dinheiro,2025-01-13 05:06:33,Aprovado
338,338,3290.94,Cartão de Crédito,2024-07-22 23:50:31,Aprovado
339,339,3645.01,Cartão de Crédito,2024-09-24 15:33:00,Aprovado
340,340,2244.86,Boleto,2024-11-07 07:09:50,Aprovado
341,341,4411.87,Cartão de Débito,2025-01-12 21:29:24,Aprovado
342,342,4144.57,Cartão de Crédito,2024-05-09 19:03:03,Aprovado
343,343,530.73,Dinheiro,2024-07-03 18:59:10,Aprovado
344,344,481.74,Boleto,2024-04-21 01:31:28,Aprovado
345,345,3385.53,PIX,2024-11-18 06:33:22,Aprovado
346,346,1628.63,Cartão de Crédito,2024-03-02 08:59:32,Aprovado
347,347,6182.56,Cartão de Débito,2024-01-13 16:01:09,Aprovado
348,348,2243.17,Boleto,2025-02-10 21:31:33,Aprovado
349,349,320.58,Cartão de Crédito,2024-09-07 12:24:27,Aprovado
350,350,2222.48,PIX,2025-01-15 02:43:10,Aprovado
351,351,3112.27,Dinheiro,2025-02-17 15:25:33,Pendente
352,352,1514.81,PIX,2024-12-23 21:43:01,Aprovado
353,353,1706.86,Cartão de Débito,2025-02-04 09:34:06,Aprovado
354,354,3077.11,PIX,2024-12-13 20:05:06,Aprovado
355,355,4446.97,Cartão de Crédito,2024-12-31 17:21:30,Aprovado
356,356,3348.90,Dinheiro,2024-08-29 00:23:18,Aprovado
357,357,5332.01,PIX,2025-01-25 16:18:21,Aprovado
358,358,4119.61,PIX,2025-02-05 19:14:16,Aprovado
359,359,2975.11,Dinheiro,2024-08-28 11:22:11,Aprovado
360,360,3226.68,Cartão de Débito,2025-05-15 22:31:30,Recusado
361,361,1943.98,Cartão de Crédito,2024-06-09 16:12:13,Aprovado
362,362,3724.19,Boleto,2025-04-05 17:26:43,Aprovado
363,363,4062.57,Dinheiro,2024-03-31 15:47:22,Aprovado
364,364,1689.79,Cartão de Crédito,2024-03-19 23:19:20,Aprovado
365,365,2743.08,Boleto,2024-02-09 14:46:04,Aprovado
366,366,1090.83,Boleto,2025-03-27 19:22:01,Aprovado
367,367,3334.11,Cartão de Crédito,2025-01-02 00:28:54,Aprovado
368,368,2719.90,Boleto,2024-06-15 19:17:01,Aprovado
369,369,3654.79,Boleto,2025-01-14 21:57:39,Aprovado
370,370,965.96,Cartão de Débito,2025-02-08 18:48:54,Aprovado
371,371,3316.80,Dinheiro,2024-01-27 00:36:59,Aprovado
372,372,3112.90,Dinheiro,2024-10-24 03:14:41,Aprovado
373,373,3722.17,Boleto,2025-04-06 03:30:48,Aprovado
374,374,2339.69,Dinheiro,2025-02-13 03:07:22,Aprovado
375,375,916.52,Cartão de Crédito,2025-01-17 23:47:44,Pendente
376,376,3561.78,Boleto,2024-09-16 21:50:14,Aprovado
377,377,6183.09,Cartão de Crédito,2024-03-25 18:37:32,Aprovado
378,378,4714.54,Cartão de Crédito,2025-02-18 03:54:18,Aprovado
379,379,2336.69,PIX,2025-05-05 02:06:09,Aprovado
380,380,765.45,Boleto,2024-09-03 14:10:36,Aprovado
381,381,4669.40,Cartão de Débito,2025-03-03 16:24:35,Aprovado
382,382,4096.35,Boleto,2025-01-13 00:36:30,Aprovado
383,383,1661.22,PIX,2025-05-25 19:18:51,Aprovado
384,384,3697.71,PIX,2024-03-27 18:55:43,Aprovado
385,385,1518.71,Cartão de Débito,2025-02-12 08:23:29,Aprovado
386,386,2249.27,Cartão de Crédito,2024-11-22 08:20:54,Aprovado
387,387,2771.14,Cartão de Débito,2025-02-26 10:53:10,Aprovado
388,388,1016.35,Cartão de Débito,2024-08-19 21:49:59,Aprovado
389,389,4384.24,Cartão de Crédito,2025-02-14 02:41:17,Aprovado
390,390,259.76,Dinheiro,2024-03-08 03:30:54,Aprovado
391,391,1299.33,Cartão de Débito,2025-02-04 21:21:18,Aprovado
392,392,1888.06,Cartão de Crédito,2024-07-21 19:36:58,Aprovado
393,393,2713.65,Boleto,2024-06-29 12:40:55,Aprovado
394,394,735.15,PIX,2024-03-05 14:37:53,Aprovado
395,395,2823.40,Boleto,2024-01-22 22:53:14,Aprovado
396,396,3541.68,Cartão de Crédito,2025-05-24 09:20:44,Aprovado
397,397,3054.96,Dinheiro,2024-03-29 09:05:50,Aprovado
398,398,3803.42,Cartão de Débito,2024-06-08 00:21:59,Aprovado
399,399,4951.99,Cartão de Crédito,2024-12-23 09:49:09,Aprovado
400,400,3688.60,Cartão de Débito,2025-02-28 01:19:25,Aprovado
