id_pedido,id_cliente,id_funcionario,id_endereco_entrega,data_pedido,valor_total,status_pedido
83,29,2,29,2025-03-01 23:09:05,1660.79,Entregue
84,74,5,74,2025-03-24 22:41:42,5174.39,Entregue
85,3,4,3,2024-10-29 15:13:12,4701.84,Entregue
86,6,4,6,2025-01-27 04:49:13,3213.18,Entregue
87,18,5,18,2024-12-27 03:53:55,39.61,Entregue
88,96,2,96,2025-04-05 05:34:20,1443.09,Entregue
89,7,2,7,2024-04-14 03:56:42,871.02,Entregue
90,8,1,8,2024-05-23 17:11:57,2025.68,Entregue
91,43,2,43,2024-03-29 05:23:41,1963.62,Entregue
92,34,3,34,2024-11-22 13:40:19,2569.43,Entregue
93,15,5,15,2025-03-17 05:42:45,3694.41,Entregue
94,7,4,7,2024-01-18 23:45:36,1845.05,Entregue
95,72,2,72,2024-09-14 23:38:50,1801.49,Entregue
96,143,5,143,2025-01-01 21:08:45,4711.64,Entregue
97,128,3,128,2024-01-16 06:50:34,2505.38,Entregue
98,121,2,121,2025-03-16 12:34:21,3722.36,Entregue
99,7,4,7,2025-04-11 07:08:59,6010.18,Entregue
100,44,3,44,2024-07-08 20:01:50,1671.74,Entregue
101,143,2,143,2024-11-19 00:39:49,2587.15,Entregue
102,37,4,37,2024-07-12 21:43:23,244.96,Entregue
103,3,5,3,2024-05-24 16:34:22,3670.60,Entregue
104,48,3,48,2024-02-17 15:17:15,1751.90,Entregue
105,18,2,18,2024-10-10 21:43:42,3402.74,Cancelado
106,137,4,137,2025-05-23 15:58:10,2223.51,Entregue
107,92,2,92,2024-02-20 05:03:52,2731.07,Entregue
108,121,2,121,2024-03-07 17:05:31,1795.38,Entregue
109,147,3,147,2024-02-07 12:52:55,878.00,Entregue
110,57,3,57,2024-11-05 14:03:01,883.68,Entregue
111,48,1,48,2024-01-24 22:17:14,3170.48,Entregue
112,82,1,82,2024-07-23 13:33:00,3682.06,Cancelado
113,134,5,134,2025-04-09 14:17:07,4255.94,Entregue
114,104,5,104,2024-08-25 23:07:08,4053.80,Entregue
115,28,2,28,2024-03-14 01:23:50,2651.37,Entregue
116,24,3,24,2024-02-06 12:52:46,5344.68,Entregue
117,31,4,31,2024-09-24 04:11:50,4597.69,Entregue
118,112,3,112,2024-01-10 09:42:10,5259.53,Entregue
119,71,3,71,2024-06-23 08:21:48,1403.30,Cancelado
120,2,2,2,2024-02-25 19:38:18,3396.19,Entregue
121,66,1,66,2024-10-03 01:14:25,485.96,Entregue
122,85,2,85,2024-10-26 10:01:03,483.49,Entregue
123,43,2,43,2024-04-20 03:52:35,2211.51,Entregue
124,103,2,103,2025-03-21 06:26:12,1525.13,Entregue
125,73,1,73,2025-02-14 20:24:13,4951.48,Entregue
126,63,2,63,2024-03-29 12:50:56,986.65,Entregue
127,69,1,69,2024-02-16 08:47:23,721.00,Entregue
128,149,3,149,2024-07-22 07:54:29,3353.51,Entregue
129,2,1,2,2024-04-01 06:18:36,3621.57,Entregue
130,104,2,104,2024-12-02 15:30:16,1773.24,Entregue
131,62,1,62,2024-07-20 19:06:36,1975.41,Entregue
132,69,4,69,2024-09-06 13:07:39,664.43,Entregue
133,100,4,100,2024-04-14 14:09:21,99.69,Entregue
134,2,3,2,2025-01-04 10:00:36,6114.02,Entregue
135,81,2,81,2024-06-19 13:18:07,1648.41,Entregue
136,134,3,134,2024-03-16 03:04:37,349.36,Entregue
137,112,5,112,2024-10-24 06:11:34,852.45,Entregue
138,128,4,128,2025-03-10 08:48:39,880.60,Entregue
139,57,3,57,2025-05-14 17:00:01,3247.82,Entregue
140,42,4,42,2024-01-28 17:14:33,4935.69,Entregue
141,49,4,49,2024-11-02 03:18:18,5485.54,Entregue
142,138,5,138,2024-07-29 19:04:18,3087.63,Entregue
143,76,3,76,2025-04-04 09:46:28,824.50,Entregue
144,135,4,135,2024-12-22 16:57:18,884.51,Entregue
145,141,5,141,2025-02-23 05:30:03,1120.27,Entregue
146,38,5,38,2024-09-30 22:01:07,59.66,Entregue
147,136,4,136,2024-11-17 07:02:56,831.36,Entregue
148,69,5,69,2024-05-24 09:30:26,3544.19,Entregue
149,46,4,46,2024-10-19 08:17:49,3552.55,Entregue
150,71,5,71,2024-03-21 00:42:27,411.55,Cancelado
151,140,1,140,2024-05-12 08:25:27,1205.16,Cancelado
152,132,4,132,2024-03-19 01:06:07,869.11,Entregue
153,105,2,105,2025-02-08 18:54:47,5554.19,Entregue
154,16,5,16,2024-11-06 10:26:36,460.62,Entregue
155,13,4,13,2024-05-06 02:59:20,759.07,Entregue
156,37,2,37,2024-02-19 21:49:49,2626.98,Entregue
157,75,4,75,2024-05-17 08:48:51,658.24,Entregue
158,12,4,12,2024-12-31 02:40:32,973.84,Entregue
159,79,5,79,2024-09-17 03:28:10,201.99,Entregue
160,142,4,142,2024-03-23 22:01:00,1811.07,Entregue
161,60,2,60,2025-05-13 00:57:23,733.89,Entregue
162,64,2,64,2025-05-13 09:45:19,1055.10,Cancelado
163,136,2,136,2024-10-22 13:36:04,725.64,Entregue
164,108,2,108,2024-04-17 21:15:53,2269.14,Entregue
165,79,3,79,2024-09-09 16:01:38,1622.15,Entregue
166,79,3,79,2024-02-17 13:11:32,3303.28,Cancelado
167,133,5,133,2024-10-29 03:09:17,3933.34,Entregue
168,92,2,92,2025-04-08 11:08:47,2161.80,Cancelado
169,20,5,20,2024-02-15 09:02:44,2679.54,Entregue
170,133,4,133,2024-06-18 21:33:06,3840.58,Entregue
171,112,1,112,2024-10-07 19:50:58,958.10,Entregue
172,53,4,53,2024-08-01 23:08:13,984.15,Entregue
173,46,1,46,2024-12-25 10:33:01,463.38,Entregue
174,84,1,84,2024-12-24 15:20:58,1285.04,Entregue
175,125,4,125,2024-10-30 03:43:06,442.96,Entregue
176,49,2,49,2024-12-23 17:46:22,2118.25,Aguardando Pagamento
177,73,5,73,2024-10-19 13:33:33,2876.27,Cancelado
178,111,4,111,2024-04-06 17:29:46,5261.68,Entregue
179,86,1,86,2024-06-06 07:35:47,4094.90,Entregue
180,125,4,125,2024-05-10 16:30:53,530.22,Entregue
181,86,2,86,2025-02-28 09:48:16,940.90,Entregue
182,61,5,61,2025-03-19 17:52:04,3748.27,Entregue
183,140,2,140,2024-09-05 05:32:03,2604.40,Entregue
184,53,5,53,2024-05-12 18:54:22,4427.72,Entregue
185,107,5,107,2025-05-26 14:38:01,2056.76,Entregue
186,38,4,38,2024-12-04 02:56:38,2427.67,Entregue
187,35,5,35,2024-09-24 17:19:28,531.27,Entregue
188,30,4,30,2024-01-11 06:21:37,5964.19,Entregue
189,57,1,57,2024-04-04 01:27:52,2900.39,Entregue
190,132,4,132,2024-08-28 08:18:06,997.05,Cancelado
191,51,5,51,2024-05-22 18:30:27,6167.36,Cancelado
192,127,4,127,2024-01-23 22:43:58,208.68,Entregue
193,108,1,108,2024-09-20 10:25:29,670.05,Entregue
194,18,4,18,2025-03-09 04:58:25,989.32,Entregue
195,54,2,54,2024-09-21 15:26:42,5798.34,Entregue
196,3,4,3,2025-03-17 09:19:02,6070.23,Entregue
197,43,4,43,2024-08-08 21:27:26,1300.12,Entregue
198,35,1,35,2024-11-12 18:42:14,4773.77,Cancelado
199,1,3,1,2025-03-22 03:48:49,2636.21,Entregue
200,89,1,89,2025-05-29 06:51:08,2283.34,Entregue
201,15,1,15,2024-03-12 04:09:47,2267.35,Entregue
202,1,1,1,2024-03-16 10:15:42,3209.18,Cancelado
203,72,1,72,2025-03-14 13:00:46,264.15,Entregue
204,146,3,146,2024-01-17 20:32:33,1949.53,Entregue
205,39,3,39,2024-04-03 12:19:01,705.46,Entregue
206,72,4,72,2024-01-26 03:52:29,1969.02,Entregue
207,132,5,132,2024-04-19 06:57:30,511.30,Entregue
208,30,4,30,2025-03-25 01:45:00,1810.78,Entregue
209,63,1,63,2025-01-21 05:09:49,194.41,Entregue
210,21,5,21,2024-01-26 12:59:10,2012.88,Entregue
211,134,4,134,2024-01-26 03:11:27,258.09,Entregue
212,72,2,72,2025-05-07 05:11:31,5449.45,Cancelado
213,98,4,98,2024-05-06 13:11:10,2330.26,Entregue
214,82,3,82,2024-11-05 20:19:37,3807.88,Entregue
215,20,2,20,2024-01-16 19:05:49,498.58,Entregue
216,143,3,143,2024-12-23 21:55:50,4979.44,Entregue
217,25,3,25,2025-02-28 11:05:57,3321.16,Entregue
218,125,3,125,2025-04-24 19:18:57,1841.10,Entregue
219,118,1,118,2024-11-15 06:43:19,1852.64,Entregue
220,115,4,115,2024-06-29 03:18:36,2843.80,Aguardando Pagamento
221,97,5,97,2025-05-09 04:47:32,4254.57,Entregue
222,2,3,2,2025-03-17 14:37:48,3082.26,Entregue
223,6,1,6,2025-04-02 21:49:34,2827.37,Entregue
224,148,5,148,2025-05-29 12:09:57,465.08,Entregue
225,41,5,41,2024-12-11 11:07:02,3642.58,Entregue
226,44,1,44,2024-01-01 04:40:07,2809.72,Entregue
227,142,1,142,2024-10-04 20:21:47,1795.11,Entregue
228,32,4,32,2024-09-08 00:42:41,2838.11,Entregue
229,54,3,54,2024-08-24 09:36:47,2488.87,Entregue
230,60,2,60,2024-09-12 01:30:37,2511.53,Entregue
231,102,1,102,2024-07-17 18:21:48,2549.07,Entregue
232,24,4,24,2024-04-12 10:52:30,3287.55,Entregue
233,94,5,94,2024-02-17 15:09:21,842.08,Entregue
234,84,5,84,2024-05-21 04:52:49,2760.41,Entregue
235,15,3,15,2024-01-13 08:34:31,5672.53,Entregue
236,94,5,94,2024-03-19 17:22:42,1493.19,Entregue
237,96,4,96,2024-01-27 19:06:49,5836.89,Cancelado
238,50,3,50,2024-05-26 18:58:43,149.08,Entregue
239,51,1,51,2025-01-04 13:11:09,1101.65,Entregue
240,89,4,89,2024-12-18 01:56:13,1832.13,Entregue
241,53,1,53,2024-07-06 06:03:51,3365.55,Entregue
242,90,2,90,2025-04-02 23:45:12,1126.62,Entregue
243,141,5,141,2025-02-27 01:19:27,1632.75,Entregue
244,115,4,115,2025-02-02 13:35:15,166.22,Entregue
245,130,4,130,2024-10-21 20:26:12,5045.48,Entregue
246,72,4,72,2025-05-03 06:37:42,4948.12,Entregue
247,145,2,145,2025-01-10 07:35:42,3785.77,Entregue
248,31,3,31,2024-06-13 04:27:45,3516.91,Entregue
249,102,5,102,2025-03-10 06:32:01,2388.71,Entregue
250,70,4,70,2024-08-01 14:04:54,3574.43,Cancelado
251,117,2,117,2024-10-02 18:28:34,2311.71,Entregue
252,124,1,124,2024-04-23 12:49:49,3640.89,Entregue
253,93,5,93,2024-08-14 16:58:50,2596.92,Entregue
254,60,5,60,2024-08-04 20:56:04,958.02,Entregue
255,84,2,84,2025-04-19 08:12:27,2393.93,Entregue
256,2,3,2,2025-03-24 10:41:02,3948.78,Entregue
257,23,5,23,2024-05-28 09:31:32,4264.26,Entregue
258,83,1,83,2024-03-17 02:41:34,1958.15,Aguardando Pagamento
259,88,1,88,2024-02-02 15:58:07,2886.39,Entregue
260,7,3,7,2024-09-01 22:43:18,2150.09,Entregue
261,30,3,30,2025-05-04 18:13:11,1302.78,Entregue
262,74,5,74,2025-02-05 07:39:04,2339.99,Entregue
263,111,4,111,2024-10-10 10:35:25,3638.58,Cancelado
264,69,5,69,2025-04-29 13:27:01,1049.46,Cancelado
265,6,2,6,2024-06-16 22:19:07,2800.49,Entregue
266,137,2,137,2025-03-20 12:18:53,1103.65,Aguardando Pagamento
267,98,3,98,2024-11-17 14:36:52,1947.06,Aguardando Pagamento
268,59,1,59,2025-03-18 19:03:33,826.53,Entregue
269,78,5,78,2024-12-23 16:53:57,4672.80,Aguardando Pagamento
270,142,5,142,2024-07-03 08:42:24,1259.95,Entregue
271,45,2,45,2025-02-03 13:56:01,3414.13,Entregue
272,84,3,84,2025-03-15 14:26:55,4286.76,Entregue
273,137,5,137,2025-02-27 09:29:46,1676.61,Entregue
274,92,3,92,2024-04-23 06:55:41,3050.94,Entregue
275,139,1,139,2024-10-29 14:40:32,2971.20,Entregue
276,54,2,54,2024-10-20 12:03:03,4255.14,Entregue
277,26,4,26,2024-10-20 20:40:54,221.40,Entregue
278,3,1,3,2024-04-25 07:40:48,4419.62,Entregue
279,125,2,125,2024-09-27 05:06:51,858.78,Cancelado
280,37,3,37,2025-04-17 04:02:00,380.97,Entregue
281,149,4,149,2024-03-07 00:25:59,4782.33,Entregue
282,149,2,149,2024-12-19 00:23:07,1650.58,Entregue
283,38,1,38,2024-04-23 19:09:37,2316.25,Cancelado
284,10,5,10,2024-10-05 19:52:18,2996.36,Entregue
285,127,1,127,2024-05-30 00:22:57,4306.94,Cancelado
286,46,1,46,2024-10-20 18:11:34,2691.53,Entregue
287,86,4,86,2024-12-10 12:56:14,2033.47,Entregue
288,35,1,35,2025-04-30 23:05:13,1627.02,Entregue
289,46,3,46,2024-12-20 17:37:34,2614.00,Entregue
290,11,1,11,2025-02-04 03:07:33,824.55,Entregue
291,63,1,63,2024-11-26 15:39:25,3430.82,Entregue
292,38,1,38,2024-04-12 19:16:26,1370.40,Entregue
293,73,3,73,2024-08-01 18:51:58,2176.26,Aguardando Pagamento
294,96,4,96,2024-09-01 11:39:07,2761.02,Entregue
295,48,2,48,2025-03-18 05:20:05,1805.94,Entregue
296,147,4,147,2024-09-25 15:59:57,4360.71,Entregue
297,123,4,123,2025-01-16 09:51:39,3978.59,Aguardando Pagamento
298,79,5,79,2024-07-29 11:23:23,132.19,Entregue
299,97,2,97,2024-02-07 19:25:27,1718.18,Entregue
300,25,3,25,2024-10-19 16:13:06,4284.16,Entregue
301,20,3,20,2024-05-01 02:08:44,3172.42,Entregue
302,58,3,58,2025-04-12 02:04:06,2367.22,Entregue
303,44,3,44,2024-07-01 13:22:12,2835.28,Entregue
304,56,1,56,2024-03-20 08:09:42,3465.13,Entregue
305,85,4,85,2024-04-07 03:36:51,5379.95,Entregue
306,51,5,51,2024-12-29 14:28:12,2739.02,Entregue
307,50,1,50,2024-12-24 08:39:59,34.20,Cancelado
308,110,5,110,2024-02-10 03:05:17,3132.80,Aguardando Pagamento
309,2,5,2,2024-09-22 16:35:46,2677.73,Entregue
310,120,3,120,2025-01-14 16:31:58,584.34,Entregue
311,134,5,134,2025-02-12 04:50:41,2161.65,Entregue
312,83,3,83,2024-10-25 03:25:07,2827.44,Entregue
313,76,1,76,2024-11-17 19:44:12,357.00,Aguardando Pagamento
314,96,3,96,2024-04-28 02:24:47,6432.55,Entregue
315,149,2,149,2025-04-09 11:04:15,1777.51,Aguardando Pagamento
316,148,2,148,2024-06-04 02:26:07,2969.41,Aguardando Pagamento
317,143,2,143,2024-12-09 02:46:51,1785.66,Entregue
318,42,5,42,2024-11-10 00:58:32,1469.64,Entregue
319,38,4,38,2024-09-13 10:50:34,1656.25,Entregue
320,10,2,10,2024-07-03 14:41:36,7066.09,Entregue
321,124,3,124,2024-08-29 17:55:37,2899.68,Entregue
322,109,2,109,2025-03-28 08:22:01,4411.45,Entregue
323,53,3,53,2024-05-11 09:56:41,5180.08,Entregue
324,27,1,27,2024-09-19 16:45:48,4194.40,Entregue
325,87,5,87,2024-03-17 08:14:19,4741.57,Entregue
326,72,2,72,2025-03-16 12:07:14,3891.88,Entregue
327,49,3,49,2025-03-22 18:54:54,4441.64,Entregue
328,43,1,43,2025-04-08 13:01:03,770.16,Cancelado
329,118,1,118,2025-04-22 10:01:39,3052.35,Entregue
330,86,5,86,2025-05-21 03:37:52,383.85,Entregue
331,106,2,106,2024-06-19 23:56:58,5405.29,Entregue
332,21,2,21,2024-06-15 22:21:51,2529.99,Entregue
333,53,2,53,2024-09-12 22:36:05,3254.38,Entregue
334,111,2,111,2024-06-18 06:46:41,2625.35,Entregue
335,66,1,66,2025-03-26 01:41:41,407.66,Cancelado
336,125,5,125,2024-03-24 06:04:36,163.62,Entregue
337,63,1,63,2025-01-13 05:01:19,1531.53,Entregue
338,142,3,142,2024-07-22 23:38:00,3290.94,Entregue
339,128,4,128,2024-09-24 15:01:16,3645.01,Entregue
340,52,1,52,2024-11-07 06:50:27,2244.86,Entregue
341,59,5,59,2025-01-12 21:13:09,4411.87,Entregue
342,30,1,30,2024-05-09 19:02:30,4144.57,Entregue
343,127,1,127,2024-07-03 18:03:42,530.73,Entregue
344,124,2,124,2024-04-21 00:48:33,481.74,Entregue
345,57,4,57,2024-11-18 05:48:24,3385.53,Entregue
346,10,1,10,2024-03-02 08:16:53,1628.63,Entregue
347,67,1,67,2024-01-13 15:42:07,6182.56,Entregue
348,66,2,66,2025-02-10 21:05:30,2243.17,Entregue
349,41,1,41,2024-09-07 11:42:34,320.58,Entregue
350,16,3,16,2025-01-15 01:44:28,2222.48,Entregue
351,45,3,45,2025-02-17 14:32:22,3112.27,Aguardando Pagamento
352,130,4,130,2024-12-23 21:30:02,1514.81,Entregue
353,103,4,103,2025-02-04 09:23:10,1706.86,Entregue
354,44,5,44,2024-12-13 19:26:12,3077.11,Entregue
355,126,2,126,2024-12-31 16:31:32,4446.97,Entregue
356,103,5,103,2024-08-29 00:21:05,3348.90,Entregue
357,44,2,44,2025-01-25 15:40:29,5332.01,Entregue
358,57,5,57,2025-02-05 18:24:07,4119.61,Entregue
359,123,3,123,2024-08-28 11:07:08,2975.11,Entregue
360,46,4,46,2025-05-15 21:36:01,3226.68,Cancelado
361,145,1,145,2024-06-09 15:33:05,1943.98,Entregue
362,5,1,5,2025-04-05 16:49:54,3724.19,Entregue
363,146,1,146,2024-03-31 15:40:11,4062.57,Entregue
364,102,1,102,2024-03-19 22:27:27,1689.79,Entregue
365,28,2,28,2024-02-09 14:23:55,2743.08,Entregue
366,3,5,3,2025-03-27 18:26:03,1090.83,Entregue
367,114,5,114,2025-01-01 23:45:15,3334.11,Entregue
368,63,5,63,2024-06-15 19:07:48,2719.90,Entregue
369,124,4,124,2025-01-14 21:48:14,3654.79,Entregue
370,63,4,63,2025-02-08 18:24:27,965.96,Entregue
371,131,1,131,2024-01-27 00:00:44,3316.80,Entregue
372,66,2,66,2024-10-24 03:05:31,3112.90,Entregue
373,43,5,43,2025-04-06 03:09:35,3722.17,Entregue
374,117,5,117,2025-02-13 02:48:39,2339.69,Entregue
375,3,1,3,2025-01-17 23:21:42,916.52,Aguardando Pagamento
376,110,2,110,2024-09-16 20:53:56,3561.78,Entregue
377,84,5,84,2024-03-25 17:40:30,6183.09,Entregue
378,96,2,96,2025-02-18 03:39:06,4714.54,Entregue
379,6,3,6,2025-05-05 01:47:00,2336.69,Entregue
380,23,4,23,2024-09-03 14:10:20,765.45,Entregue
381,143,4,143,2025-03-03 16:02:09,4669.40,Entregue
382,23,4,23,2025-01-12 23:52:24,4096.35,Entregue
383,62,5,62,2025-05-25 18:49:02,1661.22,Entregue
384,5,4,5,2024-03-27 18:04:48,3697.71,Entregue
385,93,3,93,2025-02-12 08:12:52,1518.71,Entregue
386,30,3,30,2024-11-22 08:01:20,2249.27,Entregue
387,94,1,94,2025-02-26 10:10:31,2771.14,Entregue
388,83,4,83,2024-08-19 21:30:09,1016.35,Entregue
389,101,2,101,2025-02-14 02:00:46,4384.24,Entregue
390,57,5,57,2024-03-08 03:25:37,259.76,Entregue
391,144,3,144,2025-02-04 20:44:42,1299.33,Entregue
392,59,1,59,2024-07-21 19:16:22,1888.06,Entregue
393,93,1,93,2024-06-29 12:01:50,2713.65,Entregue
394,13,3,13,2024-03-05 14:19:00,735.15,Entregue
395,33,1,33,2024-01-22 22:35:50,2823.40,Entregue
396,16,4,16,2025-05-24 08:30:46,3541.68,Entregue
397,148,3,148,2024-03-29 08:47:10,3054.96,Entregue
398,7,2,7,2024-06-07 23:37:03,3803.42,Entregue
399,123,5,123,2024-12-23 08:59:58,4951.99,Entregue
400,138,1,138,2025-02-28 00:47:01,3688.60,Entregue
401,136,5,136,2025-01-22 02:26:37,490.14,Entregue
402,1,1,1,2025-05-18 02:09:57,1636.60,Entregue
403,74,4,74,2024-01-31 18:19:12,326.89,Aguardando Pagamento
404,54,1,54,2024-06-27 05:56:11,1288.74,Entregue
405,35,2,35,2024-08-16 12:46:06,2259.12,Entregue
406,52,3,52,2024-02-02 02:27:19,519.52,Entregue
407,86,2,86,2025-04-09 03:21:37,682.39,Entregue
408,129,2,129,2025-05-07 09:15:11,4143.45,Cancelado
409,80,4,80,2024-09-28 23:13:15,2689.45,Aguardando Pagamento
410,93,4,93,2024-03-16 18:23:21,4590.11,Entregue
411,46,5,46,2024-02-20 13:01:23,332.20,Entregue
412,96,2,96,2025-02-12 04:44:45,6519.31,Cancelado
413,29,4,29,2025-03-02 15:55:59,1386.55,Entregue
414,88,3,88,2024-06-06 15:32:11,1811.51,Entregue
415,34,1,34,2024-02-29 04:30:39,1037.31,Entregue
416,69,5,69,2024-08-01 03:10:53,315.55,Entregue
417,126,4,126,2025-02-24 01:38:23,845.25,Entregue
418,37,1,37,2024-10-12 13:24:02,4358.65,Cancelado
419,31,5,31,2025-04-10 13:36:24,5798.98,Entregue
420,127,2,127,2025-05-01 20:38:21,5045.06,Entregue
421,44,2,44,2024-11-02 01:51:46,481.74,Entregue
422,63,3,63,2024-05-21 00:09:23,5692.47,Entregue
423,74,2,74,2024-12-08 15:25:00,1790.64,Entregue
424,111,5,111,2024-05-01 14:56:02,3237.79,Entregue
425,104,4,104,2024-10-16 00:30:45,2817.26,Entregue
426,14,2,14,2024-10-23 16:00:05,3661.61,Entregue
427,5,5,5,2024-09-25 08:29:54,4626.22,Entregue
428,60,5,60,2024-06-29 07:07:25,519.52,Entregue
429,106,5,106,2024-07-21 14:32:43,1391.97,Entregue
430,136,4,136,2025-02-11 18:16:30,4955.58,Cancelado
431,46,4,46,2024-07-29 20:07:00,28.14,Entregue
432,149,3,149,2024-06-22 00:24:57,1066.98,Entregue
433,138,3,138,2024-01-03 20:57:49,1375.24,Cancelado
434,63,5,63,2024-12-02 00:19:03,1542.41,Entregue
435,84,1,84,2024-01-01 14:19:48,2878.51,Entregue
436,66,1,66,2025-03-19 12:01:21,1517.63,Cancelado
437,100,1,100,2024-03-28 20:44:51,2872.64,Entregue
438,80,1,80,2025-05-18 01:24:13,3231.01,Entregue
439,9,5,9,2024-04-21 07:57:14,3122.15,Entregue
440,25,5,25,2024-12-12 12:59:31,3383.53,Entregue
441,140,1,140,2024-05-03 18:56:43,1358.63,Entregue
442,108,3,108,2024-04-30 07:18:32,4474.12,Entregue
443,134,1,134,2025-04-17 11:29:51,1140.34,Entregue
444,52,3,52,2024-07-21 13:20:48,4510.68,Entregue
445,7,4,7,2024-04-13 04:37:35,140.54,Entregue
446,51,1,51,2025-04-26 12:03:20,581.34,Entregue
